date,count
2019-01-01,5723
2019-01-02,599
2019-01-03,7410
2019-01-04,8435
2019-01-05,5053
2019-01-06,2779
2019-01-07,8323
2019-01-08,5501
2019-01-09,4850
2019-01-10,1862
2019-01-11,6989
2019-01-12,1446
2019-01-13,7779
2019-01-14,257
2019-01-15,6135
2019-01-16,8416
2019-01-17,1861
2019-01-18,5439
2019-01-19,9711
2019-01-20,1257
2019-01-21,4471
2019-01-22,8927
2019-01-23,2558
2019-01-24,2179
2019-01-25,5490
2019-01-26,2050
2019-01-27,5863
2019-01-28,8939
2019-01-29,5105
2019-01-30,2237
2019-01-31,4086
2019-02-01,4340
2019-02-02,9586
2019-02-03,6280
2019-02-04,9305
2019-02-05,359
2019-02-06,8465
2019-02-07,1172
2019-02-08,3448
2019-02-09,1178
2019-02-10,2683
2019-02-11,6825
2019-02-12,5553
2019-02-13,680
2019-02-14,9673
2019-02-15,4153
2019-02-16,1597
2019-02-17,4714
2019-02-18,2037
2019-02-19,598
2019-02-20,6395
2019-02-21,9385
2019-02-22,2187
2019-02-23,6244
2019-02-24,6846
2019-02-25,799
2019-02-26,716
2019-02-27,108
2019-02-28,1316
2019-03-01,3202
2019-03-02,6841
2019-03-03,3291
2019-03-04,7617
2019-03-05,9729
2019-03-06,3238
2019-03-07,7168
2019-03-08,5416
2019-03-09,5228
2019-03-10,5270
2019-03-11,4687
2019-03-12,9227
2019-03-13,9893
2019-03-14,5488
2019-03-15,8717
2019-03-16,1354
2019-03-17,234
2019-03-18,845
2019-03-19,6630
2019-03-20,573
2019-03-21,4040
2019-03-22,895
2019-03-23,2249
2019-03-24,1995
2019-03-25,6001
2019-03-26,9133
2019-03-27,2653
2019-03-28,3081
2019-03-29,790
2019-03-30,2641
2019-03-31,7548
2019-04-01,1414
2019-04-02,3972
2019-04-03,7455
2019-04-04,2311
2019-04-05,4255
2019-04-06,432
2019-04-07,5149
2019-04-08,5702
2019-04-09,4323
2019-04-10,8380
2019-04-11,9090
2019-04-12,4344
2019-04-13,133
2019-04-14,6987
2019-04-15,6825
2019-04-16,1606
2019-04-17,8920
2019-04-18,5326
2019-04-19,2116
2019-04-20,9459
2019-04-21,5486
2019-04-22,7123
2019-04-23,3517
2019-04-24,8410
2019-04-25,1127
2019-04-26,1383
2019-04-27,352
2019-04-28,4244
2019-04-29,7545
2019-04-30,8791
2019-05-01,4170
2019-05-02,6260
2019-05-03,4717
2019-05-04,7683
2019-05-05,9484
2019-05-06,522
2019-05-07,5482
2019-05-08,7882
2019-05-09,4108
2019-05-10,4200
2019-05-11,9759
2019-05-12,9283
2019-05-13,9560
2019-05-14,4467
2019-05-15,1521
2019-05-16,1926
2019-05-17,8748
2019-05-18,2797
2019-05-19,556
2019-05-20,3430
2019-05-21,6521
2019-05-22,9961
2019-05-23,9058
2019-05-24,4662
2019-05-25,6717
2019-05-26,1781
2019-05-27,2762
2019-05-28,863
2019-05-29,2868
2019-05-30,3357
2019-05-31,6115
2019-06-01,8929
2019-06-02,8191
2019-06-03,6265
2019-06-04,7562
2019-06-05,1194
2019-06-06,7641
2019-06-07,1020
2019-06-08,9030
2019-06-09,249
2019-06-10,5096
2019-06-11,1071
2019-06-12,8300
2019-06-13,8242
2019-06-14,2657
2019-06-15,5795
2019-06-16,8786
2019-06-17,9128
2019-06-18,1844
2019-06-19,7663
2019-06-20,3249
2019-06-21,6997
2019-06-22,9492
2019-06-23,9447
2019-06-24,4371
2019-06-25,6247
2019-06-26,796
2019-06-27,6354
2019-06-28,6362
2019-06-29,7372
2019-06-30,4794
2019-07-01,2949
2019-07-02,356
2019-07-03,5228
2019-07-04,414
2019-07-05,7005
2019-07-06,4887
2019-07-07,5563
2019-07-08,6592
2019-07-09,5246
2019-07-10,952
2019-07-11,5371
2019-07-12,7908
2019-07-13,4237
2019-07-14,8625
2019-07-15,7436
2019-07-16,5906
2019-07-17,4129
